ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
01059063,91.41,87.29,68.73
01059065,79.25,47.17,0.0
01059067,62.79,41.86,0.0
01059068,61.4,42.55,0.61
01059070,47.06,30.39,0.0
01059072,60.0,32.5,3.75
01059073,1.96,0.0,0.0
01059074,36.31,33.93,0.6
01059075,97.4,94.72,78.09
01059076,2.51,0.0,0.0
01059077,50.37,39.48,0.32
01059078,84.84,82.98,82.98
01059079,77.56,60.83,1.97
01059080,82.03,69.28,0.58
01059081,3.49,0.29,0.29
01059082,4.5,1.93,1.93
01059083,87.45,83.63,77.64
01059084,3.02,0.5,0.5
01059086,55.61,36.36,0.0
01059087,84.0,51.25,0.5
01059088,0.71,0.0,0.0
01059090,2.43,0.44,0.44
01059092,30.53,25.96,0.71
01059093,5.08,0.56,0.56
01059094,64.58,47.47,0.24
01059095,74.74,52.63,2.11
01059096,1.31,0.44,0.0
01059097,4.83,0.97,0.97
01059098,86.78,85.66,85.66
01059101,93.87,82.82,1.23
01059102,9.09,6.49,0.0
01059103,2.19,0.44,0.44
01059105,8.57,0.0,0.0
01059106,3.54,0.0,0.0
01059107,92.69,91.95,86.03
01059109,7.36,1.78,1.52
01059112,61.28,54.27,6.81
01059113,81.53,77.48,75.98
01059115,84.87,68.27,1.7
01059116,56.2,39.3,0.13
01059118,6.12,2.39,2.13
01059120,97.93,96.33,92.69
01059121,10.83,8.56,2.77
01059123,97.23,96.44,94.07
01059124,26.76,12.68,7.04
01059126,91.25,83.84,63.5
01059127,60.83,56.97,55.84
01059128,71.01,26.04,1.18
01059129,6.98,2.33,2.33
01059131,82.54,79.05,70.82
01059132,53.08,4.11,4.11
01059136,8.17,0.96,0.96
01059137,45.42,38.61,1.11
01059138,90.49,88.86,87.01
01059141,80.49,39.63,0.0
01059142,98.83,92.59,0.0
01059143,88.39,78.63,6.07
01059144,78.98,68.47,1.02
01059145,82.98,80.69,0.19
01059147,1.94,0.97,0.97
01059148,2.7,1.35,1.01
01059149,86.03,83.24,83.24
01059151,0.83,0.0,0.0
01059152,4.21,3.16,3.16
01059154,84.5,70.48,49.08
01059155,2.14,0.0,0.0
01059157,50.86,23.71,0.0
01059158,90.93,82.61,5.07
01059159,77.25,66.99,0.14
01059161,59.18,55.64,53.97
01059162,63.27,50.51,1.53
01059163,6.72,5.97,5.97
01059164,1.98,0.22,0.22
01059167,48.46,37.56,0.81
01059168,28.37,22.75,1.12
01059169,46.58,6.21,3.11
01059171,94.45,92.92,92.45
01059173,82.47,66.24,11.08
01059174,81.24,74.41,67.67
01059176,91.51,83.58,78.78
01059177,2.22,0.0,0.0
01059178,2.98,1.36,1.36
01059179,83.07,78.72,78.72
01059182,74.89,58.96,0.0
01059183,84.91,76.76,47.49
01059184,75.54,64.74,28.76
01059185,69.0,59.88,35.31
01059186,40.98,35.78,0.15
01059187,66.52,49.1,0.0
01059188,95.03,85.31,0.45
01059189,3.89,1.56,1.56
01060002,99.14,99.14,99.14
01060003,95.09,95.09,95.09
01060004,98.54,98.0,82.89
01060005,99.49,98.61,82.63
01060006,43.68,31.03,31.03
